Date,Open,High,Low,Close,Adj Close,Volume
2011-05-12,1050.0,1050.0,1050.0,1050.0,1050.0,11.0
2011-05-17,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-05-27,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-06-01,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-06-06,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-06-16,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-06-21,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-07-01,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-07-06,1070.0,1070.0,1070.0,1070.0,1070.0,0.0
2011-07-11,1110.0,1200.0,1110.0,1200.0,1200.0,2.0
2011-07-21,1200.0,1200.0,1200.0,1200.0,1200.0,0.0
2011-07-26,1200.0,1200.0,1200.0,1200.0,1200.0,0.0
2011-08-05,1020.0,1020.0,1020.0,1020.0,1020.0,0.0
2011-08-10,1020.0,1020.0,1020.0,1020.0,1020.0,0.0
2011-08-15,1020.0,1020.0,1020.0,1020.0,1020.0,0.0
2011-08-25,1020.0,1020.0,1020.0,1020.0,1020.0,0.0
2011-08-30,980.0,980.0,980.0,980.0,980.0,2.0
2011-09-09,800.0,800.0,800.0,800.0,800.0,0.0
2011-09-14,800.0,800.0,800.0,800.0,800.0,0.0
2011-09-19,910.0,910.0,910.0,910.0,910.0,0.0
2011-09-29,910.0,910.0,910.0,910.0,910.0,0.0
2011-10-04,910.0,910.0,910.0,910.0,910.0,0.0
2011-10-14,880.0,880.0,880.0,880.0,880.0,0.0
2011-10-19,880.0,880.0,880.0,880.0,880.0,0.0
2011-10-24,930.0,930.0,930.0,930.0,930.0,0.0
2011-11-03,1000.0,1000.0,1000.0,1000.0,1000.0,0.0
2011-11-08,1030.0,1040.0,1030.0,1040.0,1040.0,5.0
2011-11-18,1290.0,1290.0,1290.0,1290.0,1290.0,0.0
2011-11-23,1240.0,1240.0,1240.0,1240.0,1240.0,0.0
2011-11-28,1240.0,1240.0,1240.0,1240.0,1240.0,0.0
2011-12-08,1750.0,1750.0,1750.0,1750.0,1750.0,2.0
2011-12-13,1750.0,1750.0,1750.0,1750.0,1750.0,0.0
2011-12-23,1370.0,1370.0,1370.0,1370.0,1370.0,3.0
2011-12-28,1370.0,1370.0,1370.0,1370.0,1370.0,0.0
2012-01-12,1350.0,1350.0,1350.0,1350.0,1350.0,0.0
2012-01-17,1380.0,1380.0,1380.0,1380.0,1380.0,0.0
2012-01-27,1380.0,1380.0,1380.0,1380.0,1380.0,0.0
2012-02-01,1380.0,1380.0,1380.0,1380.0,1380.0,0.0
2012-02-06,1380.0,1380.0,1380.0,1380.0,1380.0,0.0
2012-02-16,1680.0,1680.0,1680.0,1680.0,1680.0,0.0
2012-02-21,1740.0,1740.0,1740.0,1740.0,1740.0,2.0
2012-03-02,1570.0,1570.0,1570.0,1570.0,1570.0,0.0
2012-03-07,1400.0,1400.0,1400.0,1400.0,1400.0,5.0
2012-03-12,1410.0,1410.0,1410.0,1410.0,1410.0,0.0
2012-03-22,1470.0,1470.0,1470.0,1470.0,1470.0,0.0
2012-03-27,1460.0,1460.0,1460.0,1460.0,1460.0,2.0
2012-04-11,1430.0,1430.0,1430.0,1430.0,1430.0,0.0
2012-04-16,1430.0,1430.0,1430.0,1430.0,1430.0,0.0
2012-04-26,1430.0,1430.0,1430.0,1430.0,1430.0,0.0
2012-05-01,1270.0,1270.0,1270.0,1270.0,1270.0,0.0
2012-05-11,1270.0,1270.0,1270.0,1270.0,1270.0,0.0
2012-05-16,1270.0,1270.0,1270.0,1270.0,1270.0,0.0
2012-05-21,1360.0,1360.0,1360.0,1360.0,1360.0,0.0
2012-05-31,1260.0,1260.0,1260.0,1260.0,1260.0,0.0
2012-06-05,1260.0,1260.0,1260.0,1260.0,1260.0,0.0
2012-06-15,970.0,970.0,970.0,970.0,970.0,20.0
2012-06-20,970.0,970.0,970.0,970.0,970.0,0.0
2012-06-25,970.0,970.0,970.0,970.0,970.0,0.0
2012-07-05,970.0,970.0,970.0,970.0,970.0,0.0
2012-07-10,970.0,970.0,970.0,970.0,970.0,0.0
2012-07-20,970.0,970.0,970.0,970.0,970.0,0.0
2012-07-25,1260.0,1260.0,1240.0,1240.0,1240.0,6.0
2012-07-30,1240.0,1240.0,1240.0,1240.0,1240.0,0.0
2012-08-09,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2012-08-14,1320.0,1320.0,1320.0,1320.0,1320.0,0.0
2012-08-24,1300.0,1300.0,1300.0,1300.0,1300.0,0.0
2012-08-29,1310.0,1310.0,1310.0,1310.0,1310.0,2.0
2012-09-13,1310.0,1310.0,1310.0,1310.0,1310.0,0.0
2012-09-18,1330.0,1330.0,1330.0,1330.0,1330.0,1.0
2012-09-28,1430.0,1430.0,1430.0,1430.0,1430.0,0.0
2012-10-03,1520.0,1520.0,1520.0,1520.0,1520.0,0.0
2012-10-08,1620.0,1620.0,1620.0,1620.0,1620.0,0.0
2012-10-18,1400.0,1400.0,1400.0,1400.0,1400.0,0.0
2012-10-23,1400.0,1400.0,1400.0,1400.0,1400.0,0.0
2012-11-02,1450.0,1450.0,1450.0,1450.0,1450.0,0.0
2012-11-07,1450.0,1450.0,1450.0,1450.0,1450.0,0.0
2012-11-12,1450.0,1450.0,1450.0,1450.0,1450.0,0.0
2012-11-27,1400.0,1400.0,1400.0,1400.0,1400.0,0.0
2012-12-07,1400.0,1400.0,1400.0,1400.0,1400.0,0.0
2012-12-12,1400.0,1400.0,1400.0,1400.0,1400.0,0.0
2012-12-17,1690.0,1690.0,1690.0,1690.0,1690.0,4.0
2012-12-27,1700.0,1700.0,1700.0,1700.0,1700.0,0.0
2013-01-11,1790.0,1790.0,1790.0,1790.0,1790.0,0.0
2013-01-16,2000.0,2000.0,2000.0,2000.0,2000.0,2.0
2013-01-31,2010.0,2010.0,2010.0,2010.0,2010.0,0.0
2013-02-05,2450.0,2450.0,2450.0,2450.0,2450.0,0.0
2013-02-15,2500.0,2500.0,2500.0,2500.0,2500.0,0.0
2013-02-20,2500.0,2500.0,2500.0,2500.0,2500.0,0.0
2013-02-25,2500.0,2500.0,2500.0,2500.0,2500.0,0.0
2013-03-07,2460.0,2460.0,2460.0,2460.0,2460.0,3.0
2013-03-12,2460.0,2460.0,2460.0,2460.0,2460.0,0.0
2013-03-22,2500.0,2500.0,2500.0,2500.0,2500.0,0.0
2013-03-27,2550.0,2550.0,2550.0,2550.0,2550.0,0.0
2013-04-01,2550.0,2550.0,2550.0,2550.0,2550.0,0.0
2013-04-11,2420.0,2420.0,2420.0,2420.0,2420.0,0.0
2013-04-16,2310.0,2310.0,2290.0,2290.0,2290.0,4.0
2013-04-26,2290.0,2290.0,2290.0,2290.0,2290.0,0.0
2013-05-01,2390.0,2390.0,2390.0,2390.0,2390.0,5.0
2013-05-06,2390.0,2390.0,2390.0,2390.0,2390.0,0.0
2013-05-16,2470.0,2470.0,2470.0,2470.0,2470.0,0.0
2013-05-21,2470.0,2470.0,2470.0,2470.0,2470.0,0.0
2013-05-31,2430.0,2430.0,2430.0,2430.0,2430.0,0.0
2013-06-05,2470.0,2470.0,2470.0,2470.0,2470.0,3.0
2013-06-10,2470.0,2470.0,2470.0,2470.0,2470.0,0.0
2013-06-20,2870.0,2870.0,2870.0,2870.0,2870.0,0.0
2013-06-25,2600.0,2600.0,2600.0,2600.0,2600.0,3.0
2013-07-05,2590.0,2590.0,2590.0,2590.0,2590.0,2.0
2013-07-10,2610.0,2610.0,2610.0,2610.0,2610.0,0.0
2013-07-15,2610.0,2610.0,2610.0,2610.0,2610.0,0.0
2013-07-25,2480.0,2480.0,2480.0,2480.0,2480.0,0.0
2013-07-30,2550.0,2550.0,2550.0,2550.0,2550.0,0.0
2013-08-09,2650.0,2650.0,2650.0,2650.0,2650.0,0.0
2013-08-14,2660.0,2660.0,2660.0,2660.0,2660.0,0.0
2013-08-19,2740.0,2740.0,2740.0,2740.0,2740.0,0.0
2013-08-29,2740.0,2740.0,2740.0,2740.0,2740.0,0.0
2013-09-03,2620.0,2620.0,2620.0,2620.0,2620.0,1.0
2013-09-13,2570.0,2570.0,2570.0,2570.0,2570.0,1.0
2013-09-18,2480.0,2480.0,2480.0,2480.0,2480.0,0.0
2013-09-23,2480.0,2480.0,2480.0,2480.0,2480.0,0.0
