gamma_trade,gamma_risk,gamma_hold,seed,excess_return,excess_risk,sharpe
100,500.0,100.0,0,-1.9149234220170983,1.2447222786386312,-1.5384342795820083
50,500.0,100.0,0,-2.285409936291302,1.4196722228804632,-1.6098152090729
50,200.0,10.0,0,-1.8842537705225917,1.513435719283467,-1.2450173776886193
50,10000.0,1.0,0,-7.659355811469417,1.5401302365470324,-4.973187091399277
50,10000.0,0.1,0,-7.680460352805234,1.540859196859956,-4.984530947705592
10,5000.0,10.0,0,-7.797854256871244,1.5481565438885956,-5.036864190287189
10,5000.0,1.0,0,-7.7072920179310325,1.5510073339535646,-4.96921700446439
10,5000.0,0.1,0,-7.605255481435651,1.5529822381030172,-4.8971941177675955
1,10000.0,1000.0,0,-4.575885990027194,1.5603665545066725,-2.932571181310607
1,5000.0,1.0,0,-7.676827625463307,1.5611878794995098,-4.9172990171588875
1,1000.0,1.0,0,-7.726047263183294,1.583576062314533,-4.878860856163113
100,300.0,1.0,0,-2.1733601417206727,1.6002014438829824,-1.3581790905318065
10,1000.0,10.0,0,-6.057329098796138,1.6049807209002673,-3.7740821555778283
1,5000.0,0.1,0,-7.585648559801979,1.6116826949050824,-4.7066637767980275
50,300.0,10.0,0,-2.1290296744113766,1.6326638639297573,-1.3040220473103916
1,1000.0,0.1,0,-7.500455077174758,1.635293415348518,-4.586611189635495
10,10000.0,1000.0,0,-4.546065782625479,1.6490372091267484,-2.7568000027318114
500,1000.0,100.0,0,-0.52639930498907,1.6680995253429378,-0.31556828414110943
100,300.0,10.0,0,-1.4032136814441702,1.6688168165397566,-0.8408434452102977
1,5000.0,1000.0,0,-3.208846247999245,1.6849222676486544,-1.9044476469987304
1,300.0,10.0,0,-5.593082578241493,1.6895632562938272,-3.3103718120091594
50,5000.0,10.0,0,-6.070187497976638,1.6911780000236516,-3.5893250136246717
1,500.0,1.0,0,-5.827582641694215,1.7028136114929313,-3.4223256158875297
1,500.0,0.1,0,-5.784669170841816,1.7251241394378802,-3.3531900914253687
100,300.0,100.0,0,-0.9185623375230242,1.7368130419249581,-0.528878074582487
500,10000.0,1000.0,0,-2.908933491996262,1.7470722205552103,-1.66503333850264
1,10000.0,0.1,0,-7.404975816646248,1.7512845522847278,-4.2283110457325215
1,1000.0,100.0,0,-5.360696442378278,1.7533850154306734,-3.057341311350013
1,10000.0,1.0,0,-7.388902022983865,1.7560992919279577,-4.207565060214709
10,10000.0,10.0,0,-7.174624267076745,1.7848700352287137,-4.019690019703528
50,200.0,100.0,0,-1.218969271593385,1.7968254974406703,-0.6784015884289478
100,300.0,0.1,0,-1.7198142765982103,1.7979450482937722,-0.9565444050864029
50,200.0,1.0,0,-3.1128102786476184,1.8032436957629876,-1.7262282884790718
50,200.0,0.1,0,-2.9585188520064,1.8066812510789294,-1.6375433409958764
10,10000.0,1.0,0,-7.191757527710424,1.8134710113595587,-3.965741653801659
50,1000.0,100.0,0,-2.8759739534397255,1.8319794845553539,-1.56987235811637
50,10000.0,1000.0,0,-4.156934016733664,1.8342887684095377,-2.2662375130487384
10,300.0,100.0,0,-2.3139854625680973,1.845127228570169,-1.2541061812638563
10,1000.0,0.1,0,-6.2224123862642795,1.8585435694697832,-3.3480045819100424
1,500.0,100.0,0,-2.7552917937675274,1.9211217244549625,-1.434209898672207
10,1000.0,100.0,0,-3.467600382182972,1.955043022560094,-1.773669603261319
100,1000.0,100.0,0,-1.8101038274703571,1.993158359563115,-0.9081585609018633
10,500.0,100.0,0,-2.697995479005683,1.999790980837328,-1.3491387374274542
100,10000.0,1000.0,0,-2.9093575816227095,2.01517776356973,-1.443722551041358
10,500.0,10.0,0,-4.979028836553835,2.038688935321234,-2.442270005143916
100,5000.0,1000.0,0,-2.387024384681059,2.0520063506177224,-1.1632636438783364
1,10000.0,100.0,0,-6.408621006655207,2.053863119952461,-3.1202765872749794
50,5000.0,1000.0,0,-2.560144307029612,2.0595159498636346,-1.2430805924077089
10,10000.0,100.0,0,-6.3362493243586515,2.0690699640466175,-3.062365910511034
50,300.0,100.0,0,-0.6283398558475202,2.1412682446825264,-0.2934428497727432
10,100.0,10.0,0,-4.202601562638411,2.1827856027307515,-1.9253386852931362
100,10000.0,100.0,0,-5.725068789399658,2.186854721913521,-2.6179465567745455
10,5000.0,1000.0,0,-2.3718507564640423,2.1880373773362067,-1.0840083359780701
500,5000.0,1000.0,0,-1.2526217018873678,2.210277465897604,-0.5667259976243173
1,200.0,100.0,0,-1.7593246938270177,2.2237447955112004,-0.7911540467136111
1,300.0,100.0,0,-2.127811640317991,2.269283473605489,-0.9376579281817425
1,5000.0,100.0,0,-5.678262344372561,2.319100635080224,-2.448476042168879
500,1000.0,1000.0,0,0.3033854994198824,2.3248394809073702,0.1304973964488391
50,5000.0,0.1,0,-5.216212674683242,2.3409579051475955,-2.2282385613227693
100,1000.0,1000.0,0,-0.834367538083367,2.3645480490557556,-0.3528655458773859
50,5000.0,100.0,0,-5.433058864446539,2.37076462092393,-2.291690544263807
50,10000.0,100.0,0,-5.521595850804519,2.412496519676036,-2.288747695912113
10,100.0,100.0,0,-0.6053387145064978,2.4181871741733416,-0.2503274853872439
100,200.0,100.0,0,-0.33070607164014737,2.477570191034016,-0.13348000102557211
1,75.0,10.0,0,-6.7255923828997055,2.5219501929966963,-2.6668220496884794
1,200.0,0.1,0,-4.6209602146307,2.5347467823936767,-1.823046091518032
10,100.0,1.0,0,-5.1211286165454375,2.5434192042887616,-2.0134819332613727
1,100.0,10.0,0,-5.3611723345577165,2.5576313445303938,-2.0961474162501244
1,200.0,10.0,0,-4.227739001982911,2.6455319362066745,-1.5980676491265127
1,200.0,1.0,0,-4.5477500498485215,2.676164211863023,-1.699353884821061
50,5000.0,1.0,0,-4.5718752820231545,2.6864924473249183,-1.7018009064479638
50,1000.0,1000.0,0,-0.5096186308697285,2.7051003787355934,-0.18839176352780382
500,10000.0,10000.0,0,-0.6946158300890249,2.708157658244173,-0.2564901744085968
10,200.0,100.0,0,-0.48269910190519544,2.734800931332204,-0.17650246362540842
1,100.0,0.1,0,-8.299796303752057,2.735877303690555,-3.0336873267511186
1,100.0,100.0,0,-1.0882244378757098,2.756774462196017,-0.39474554512843313
50,10000.0,10000.0,0,-0.9859646506494584,2.7922994072016465,-0.35310133580465886
1,10000.0,10000.0,0,-0.830938686285737,2.8158604484625203,-0.29509228226826206
1,10000.0,10.0,0,-5.058032428669214,2.8243476200642315,-1.790867523790922
10,10000.0,10000.0,0,-0.6962961157172833,2.847648392432799,-0.2445161830960544
100,10000.0,10000.0,0,-0.9003672897988778,2.8491920185138215,-0.3160079362669709
10,1000.0,1000.0,0,-0.790008798723171,2.8659628457160937,-0.2756521424916722
1,1000.0,1000.0,0,-0.750445962232763,2.915576726792622,-0.25739194422035205
10,75.0,10.0,0,-3.6125948644358483,2.9527875426285703,-1.2234523521526095
100,500.0,1.0,0,-0.9758631203890213,2.9546971053620457,-0.3302751807006108
1,300.0,1.0,0,-4.554892035088112,2.9664530959318514,-1.535467404266267
100,200.0,10.0,0,-0.12507626203222516,2.9862135288679115,-0.04188456747084734
100,1000.0,0.1,0,-1.4097636181094764,2.989147607448273,-0.47162730090567206
100,500.0,1000.0,0,-0.20895203326649184,2.997593233622493,-0.06970660025609283
50,5000.0,10000.0,0,-0.7940957441630804,3.0163027604757846,-0.26326791679155626
100,500.0,10.0,0,-0.793164804785759,3.0188232639377213,-0.26273972850969857
500,5000.0,10000.0,0,-0.4636958646309619,3.0430932666684605,-0.15237648799986014
500,1000.0,10.0,0,-3.50542501125343,3.064227859290927,-1.1439831410137355
1,5000.0,10000.0,0,-0.7335365020841738,3.0773696090783265,-0.23836477097850728
10,5000.0,10000.0,0,-0.7179506766548773,3.0868727051004887,-0.23258188634361113
100,1000.0,1.0,0,-1.330602272568743,3.096203786260232,-0.4297528084144354
100,5000.0,10000.0,0,-0.4943349434333486,3.11254670115236,-0.15882008878785037
100,500.0,0.1,0,-0.754457135710212,3.1333466335851594,-0.24078317018087653
1,500.0,1000.0,0,-0.5966609182824663,3.143132060350535,-0.18983005067115258
10,500.0,1000.0,0,-0.6068071152028195,3.14900626596032,-0.1926979700746222
50,500.0,1000.0,0,0.012180097452122859,3.185615150068699,0.0038234679577852306
100,200.0,1.0,0,0.05137893842735455,3.236210481568191,0.01587626599690683
100,200.0,0.1,0,-0.2574959093233874,3.261871690478039,-0.07894115212289372
50,100.0,10.0,0,-0.7733534419481943,3.3435214163947125,-0.23129908429959872
1,75.0,100.0,0,-0.17822675949723785,3.3644431955574174,-0.052973627176282116
1,75.0,0.1,0,-8.94061391726997,3.3814519936119765,-2.6440162197068027
500,1000.0,1.0,0,-3.7736788481069183,3.4086930667623747,-1.1070749915571636
1,75.0,1.0,0,-9.257285421552739,3.432679793825508,-2.696810066060974
10,100.0,0.1,0,-6.933046967389594,3.437783943025843,-2.01671980621543
500,500.0,1.0,0,-1.780925683755654,3.4645683459227343,-0.5140397030560908
500,1000.0,0.1,0,-3.7750877904733353,3.46765729518303,-1.0886565393060499
100,5000.0,100.0,0,-3.2493546338606856,3.4722422288542956,-0.9358087425060911
10,75.0,1.0,0,-4.806792107591398,3.529932394479277,-1.3617235602327955
10,75.0,0.1,0,-4.995726274483168,3.5796068507928465,-1.3956075297421742
50,100.0,0.1,0,-0.7346082999176019,3.6263975229394085,-0.2025724690331684
50,100.0,1.0,0,-0.5170650959964238,3.6528312976697297,-0.1415518686357834
10,75.0,100.0,0,0.776977102765189,3.6715671905673846,0.21162001467964942
50,300.0,0.1,0,-0.3194920547830206,3.687499437644156,-0.08664192637467505
1,50.0,10.0,0,-4.937012201141745,3.699995340293614,-1.3343293023579774
50,300.0,1.0,0,-0.1983496468944749,3.7761778969650104,-0.052526563182813096
10,200.0,10.0,0,-1.2674671869078555,3.8355794862906984,-0.330449985833456
500,500.0,100.0,0,1.771700642610272,3.8464400553329505,0.46060789122499723
500,5000.0,0.1,0,-0.9389847999816116,3.9515679735923994,-0.23762334502574015
500,5000.0,10.0,0,-0.9337630270247589,3.963790778766104,-0.2355732376256831
500,5000.0,1.0,0,-0.947608939965662,3.979929626911108,-0.23809690843732773
100,1000.0,10.0,0,-0.9191129017227553,4.03486488842812,-0.2277927333722488
500,500.0,0.1,0,-0.5209259784726571,4.034898778002543,-0.1291050921308462
10,300.0,1000.0,0,0.8171115262152889,4.103053875569315,0.199147159894875
50,500.0,0.1,0,-0.5688573400889692,4.1601272464778045,-0.13674037027848018
50,500.0,1.0,0,-0.4793043113049408,4.178194280637213,-0.1147156592325435
1,50.0,1.0,0,-8.306768036621932,4.197871132980481,-1.9788049164634889
50,1000.0,10.0,0,-1.251961901575834,4.229970009526729,-0.29597417919185437
500,500.0,10.0,0,0.5119333188291093,4.291584511916748,0.11928771702097153
50,500.0,10.0,0,-0.05532040572692579,4.30385762085049,-0.012853679326871847
10,200.0,1.0,0,-0.4612999359896911,4.362772660845212,-0.10573549709104535
100,5000.0,1.0,0,-2.015161721687096,4.377239876837581,-0.46037269566843736
500,10000.0,100.0,0,-1.1243526852700052,4.4374675822784155,-0.2533771040402073
10,1000.0,1.0,0,-1.9370546827671935,4.469705166363343,-0.43337415124032147
500,5000.0,100.0,0,-0.28940431965229135,4.472888650924528,-0.06470188333270328
10,200.0,0.1,0,-0.29018506521841475,4.479397939705992,-0.06478215803203706
1,300.0,1000.0,0,1.987749165061006,4.48147832073314,0.44354764718259837
100,5000.0,0.1,0,-1.8110213830004809,4.487947701455497,-0.40352996591585594
1,50.0,0.1,0,-8.624705215484193,4.491871014813599,-1.920069651831286
1,100.0,1.0,0,-2.3003722666314785,4.553501897989029,-0.5051875058287328
50,100.0,100.0,0,2.825300165627684,4.582394979964016,0.6165553554377083
500,10000.0,0.1,0,-0.8961512429957685,4.629436065183382,-0.19357676191609097
500,10000.0,1.0,0,-0.8893268417453085,4.642186154334209,-0.19157500629632923
10,300.0,0.1,0,-0.379470459084766,4.655712850466199,-0.08150641400634659
500,10000.0,10.0,0,-0.8601421263874997,4.660423393433902,-0.18456308660697202
10,300.0,1.0,0,-0.2595403376957151,4.715374748627615,-0.05504129608601161
1,1000.0,10.0,0,-1.1170740894457691,4.755419410071417,-0.23490548217049756
50,1000.0,0.1,0,-0.46205750473293095,4.828331037528103,-0.0956971469316413
50,1000.0,1.0,0,-0.4574494695096823,4.836553724349131,-0.09458169919765391
50,300.0,1000.0,0,2.8640210905997425,4.860851770100002,0.5892014869115874
50,10000.0,10.0,0,-1.1864453548894338,4.890233004536549,-0.24261530151810712
10,500.0,1.0,0,-0.42803593559154823,4.905256160309858,-0.0872606692908184
10,300.0,10.0,0,-0.2495588987759813,4.917822409337497,-0.0507458134930091
10,10000.0,0.1,0,-1.161470135191133,4.921916160952962,-0.2359792603550268
10,500.0,0.1,0,-0.3940223960462516,4.926750895000313,-0.07997611497794767
10,50.0,10.0,0,0.11116010524013477,4.952785804572537,0.02244395571024068
100,10000.0,10.0,0,-0.8672268937011397,4.952863461944116,-0.17509606318942067
1,5000.0,10.0,0,-1.1869591585032722,4.955260858298727,-0.23953515111428197
1,300.0,0.1,0,-1.1227078595021969,4.981219326895572,-0.2253881601719991
50,75.0,10.0,0,2.2837282536745755,4.981436711417728,0.45844771016364505
1,500.0,10.0,0,-0.812843936878545,4.988249765499596,-0.16295173158738874
10,5000.0,100.0,0,-1.1959894375228284,5.114041717571989,-0.23386384069050034
100,5000.0,10.0,0,-0.6330194821275744,5.17861665194445,-0.1222371773531239
100,10000.0,1.0,0,-0.9192978484811318,5.241680911294641,-0.17538226077444968
100,10000.0,0.1,0,-0.8902100763073474,5.248593524186429,-0.16960926240622465
10,50.0,1.0,0,1.6637645488126087,5.585214270210608,0.29788732684554126
10,50.0,0.1,0,1.7812906665024313,5.666375677013205,0.31436155455216214
50,75.0,1.0,0,4.2197027330599015,5.7302556109564255,0.736389965744582
10,200.0,1000.0,0,2.9333791660112523,5.747864591296911,0.5103424270733183
50,75.0,0.1,0,4.2552432668628475,5.752286160487913,0.7397481884840573
500,500.0,1000.0,0,4.265252397986312,5.830237362863135,0.7315743995526993
100,100.0,10.0,0,4.1908758640168795,5.84790007432663,0.7166462851196115
