gamma_trade,gamma_risk,gamma_hold,seed,excess_return,excess_risk,sharpe
0.1,0.1,0.1,0,-29.97382429515634,20.492879187389036,-1.4626458303429473
0.1,0.1,1.0,0,-28.846302903331654,34.13499168900752,-0.8450654731701903
0.1,1.0,0.1,0,-44.40384113293575,28.38586291516965,-1.564294214540364
0.1,1.0,1.0,0,-13.325176708560964,25.006617211834257,-0.5328660248478106
0.1,10.0,0.1,0,-6.007976311318292,23.411679413479057,-0.25662303866416586
0.1,10.0,1.0,0,-11.481747912418747,28.235790789310816,-0.4066380856159827
0.1,100.0,0.1,0,-16.980321867026436,13.530103152606022,-1.2550031345293824
0.1,100.0,1.0,0,-17.31485890089308,13.44011913196209,-1.2882965344939858
0.1,1000.0,0.1,0,-19.377247445986807,13.780757014785138,-1.4061090711633106
0.1,1000.0,1.0,0,-19.124884303065095,13.760103250381755,-1.3898794184218421
1.0,0.1,0.1,0,-23.08225009372502,28.119490446260244,-0.8208630287180345
1.0,0.1,1.0,0,-16.109711490307863,26.28591830633845,-0.6128647020265315
1.0,1.0,0.1,0,-41.78825053923326,27.48308223462697,-1.520508150522603
1.0,1.0,1.0,0,-48.965777326468356,33.26484258842549,-1.471997866705854
1.0,10.0,0.1,0,-5.913626210924765,25.239983967454627,-0.23429595749941892
1.0,10.0,1.0,0,-7.738794362934054,25.322518604124276,-0.30560918856126884
1.0,100.0,0.1,0,-16.029718116360648,13.49230046592199,-1.1880641227081705
1.0,100.0,1.0,0,-15.513288758191146,13.507775929784376,-1.14847098729145
1.0,1000.0,0.1,0,-19.243915571056803,13.7371323684925,-1.4008684676573888
1.0,1000.0,1.0,0,-19.62241845901025,13.748084753396457,-1.4272837861406509
10.0,0.1,0.1,0,-21.390659177990532,26.122524797394224,-0.8188587950014806
10.0,0.1,1.0,0,-56.448493162544814,82.55062770519335,-0.6838045297987914
10.0,1.0,0.1,0,-25.08521033725024,26.78943435097822,-0.9363844719003651
10.0,1.0,1.0,0,-61.60026933509599,35.758746336222735,-1.7226630026650689
10.0,10.0,0.1,0,-4.043553737592272,20.630242031839508,-0.19600127479608276
10.0,10.0,1.0,0,-3.0495131295542293,18.786071294112542,-0.16232841246109456
10.0,100.0,0.1,0,-13.936681693180587,13.516189785179924,-1.0311102399924659
10.0,100.0,1.0,0,-13.262244764847985,13.516839130155907,-0.9811646522640101
10.0,1000.0,0.1,0,-19.141901183831344,13.763110534349613,-1.3908121377109837
10.0,1000.0,1.0,0,-19.082545604848953,13.7400419679939,-1.3888273157607451
100.0,0.1,0.1,0,-19.468274612876485,25.482094768302144,-0.7639982030477961
100.0,0.1,1.0,0,-19.463185984997306,25.479315624418955,-0.7638818197433886
100.0,1.0,0.1,0,-19.4541312705515,25.47643952318602,-0.7636126411167605
100.0,1.0,1.0,0,-19.451533774713102,25.47508108262739,-0.7635513979964517
100.0,10.0,0.1,0,-19.336440705387446,19.855380275749,-0.9738640326624529
100.0,10.0,1.0,0,-19.33500054641551,19.852393859840788,-0.973937988683979
100.0,100.0,0.1,0,-5.20025130143433,13.634311270780788,-0.3814091667819558
100.0,100.0,1.0,0,-5.228649557730727,13.619922198771791,-0.38389716779749544
100.0,1000.0,0.1,0,-15.62285623782531,13.870161426409856,-1.1263644133281814
100.0,1000.0,1.0,0,-15.365943761800796,13.879054755765685,-1.1071318639633887
